 seq | path_seq | node  | edge  |       cost        |     agg_cost     
-----+----------+-------+-------+-------------------+------------------
   1 |        1 |   279 |  4181 |  3.54307250969382 |                0
   2 |        2 |  7280 |   535 | 0.602870207308306 | 3.54307250969382
   3 |        3 |   879 |   536 |  1.64046384768822 | 4.14594271700213
   4 |        4 |  4639 |  9848 |  6.12005829700807 | 5.78640656469035
   5 |        5 | 12224 | 14318 |  12.8270920764088 | 11.9064648616984
   6 |        6 |  5124 | 13930 |  3.37967692690096 | 24.7335569381072
   7 |        7 | 11571 | 16392 | 0.183767777053558 | 28.1132338650082
   8 |        8 |  2520 |  8642 |  0.72737943164592 | 28.2970016420617
   9 |        9 |  1721 | 14799 | 0.286520832836953 | 29.0243810737077
  10 |       10 |  3186 | 15052 | 0.343625970884297 | 29.3109019065446
  11 |       11 |   696 |  7579 |  1.99728951079222 | 29.6545278774289
  12 |       12 | 11317 |   789 |  3.25250989889566 | 31.6518173882211
  13 |       13 |  1315 |  8355 | 0.470577723048482 | 34.9043272871168
  14 |       14 |  2015 |  3576 |  1.22672328517158 | 35.3749050101653
  15 |       15 |  6280 |   279 |  2.35493524372283 | 36.6016282953369
  16 |       16 |   484 | 14201 | 0.382759752180137 | 38.9565635390597
  17 |       17 | 12018 |  7490 |  5.72639049881928 | 39.3393232912398
  18 |       18 |   545 | 14618 |  6.40532835798005 | 45.0657137900591
  19 |       19 |   854 | 14659 | 0.659568387886509 | 51.4710421480391
  20 |       20 |  4882 | 10002 |  1.09783108683209 | 52.1306105359257
  21 |       21 | 10421 | 13272 |  6.05285469974612 | 53.2284416227577
  22 |       22 | 11866 | 18065 |  15.6329128635657 | 59.2812963225039
  23 |       23 | 16826 |    -1 |                 0 | 74.9142091860696
(23 rows)

