 seq |  gid  |             name             |        cost         |     azimuth      |                                                      route_readable                                                       |                                                                                         route_geom                                                                                         
-----+-------+------------------------------+---------------------+------------------+---------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   1 | 18065 |                              |   0.260548547726096 | 302.782169450011 | LINESTRING(26.1031652 44.4373788,26.1031254 44.4374698,26.1030738 44.4375551,26.1029835 44.4375941,26.1028076 44.4376091) | 0102000020E610000005000000D615D808691A3A405BFB4C07FC3746400D631C6D661A3A406CFEA902FF3746400F13680B631A3A40585936CE0138464012876C205D1A3A4016365E1503384640BEC74F99511A3A404C77329303384640
   2 | 13272 |                              |   0.100880911666676 | 326.068097933036 | LINESTRING(26.1028076 44.4376091,26.1027159 44.4377454)                                                                   | 0102000020E610000002000000BEC74F99511A3A404C773293033846407A47D7964B1A3A40BA7C900A08384640
   3 | 10002 |                              |  0.0182971847822312 |   324.0902769212 | LINESTRING(26.1027159 44.4377454,26.1026277 44.4378672)                                                                   | 0102000020E6100000020000007A47D7964B1A3A40BA7C900A08384640E82917CF451A3A40DCFE4B080C384640
   4 | 14659 | Strada Batiștei              |  0.0109928064656229 | 246.211331589752 | LINESTRING(26.1026277 44.4378672,26.1025297 44.437824)                                                                    | 0102000020E610000002000000E82917CF451A3A40DCFE4B080C384640635EEC623F1A3A40B3B3E89D0A384640
   5 | 14618 | Strada Batiștei              |   0.106755472632153 | 252.848780112053 | LINESTRING(26.1025297 44.437824,26.102313 44.4377199,26.1015087 44.4375089)                                               | 0102000020E610000003000000635EEC623F1A3A40B3B3E89D0A384640A5F44C2F311A3A4079A7A734073846406DC26279FC193A40BE9AA84A00384640
   6 |  1627 | Bulevardul Nicolae Bălcescu  |   0.039194486676539 | 333.780516282454 | LINESTRING(26.1015087 44.4375089,26.1014616 44.43761,26.1013545 44.4378226,26.1013449 44.4378415)                         | 0102000020E6100000040000006DC26279FC193A40BE9AA84A00384640C2CC2D63F9193A408733BF9A033846406CCD565EF2193A408F392A920A384640CC1D47BDF1193A4071AAB5300B384640
   7 |  2179 | Bulevardul Nicolae Bălcescu  |  0.0103375542359144 | 333.251895836797 | LINESTRING(26.1013449 44.4378415,26.1013008 44.437929)                                                                    | 0102000020E610000002000000CC1D47BDF1193A4071AAB5300B384640030F67D9EE193A40287CB60E0E384640
   8 |  3152 | Bulevardul Nicolae Bălcescu  |  0.0582872683004149 | 333.267973819051 | LINESTRING(26.1013008 44.437929,26.1010523 44.4384224)                                                                    | 0102000020E610000002000000030F67D9EE193A40287CB60E0E38464082AF4390DE193A40BBEAA6391E384640
   9 |  4350 | Bulevardul Nicolae Bălcescu  |  0.0686955712464395 | 333.265726256021 | LINESTRING(26.1010523 44.4384224,26.1007594 44.4390039)                                                                   | 0102000020E61000000200000082AF4390DE193A40BBEAA6391E384640BCC3375ECB193A4082A8A04731384640
  10 |  3550 | Bulevardul Nicolae Bălcescu  |  0.0176925448536345 | 327.661958189901 | LINESTRING(26.1007594 44.4390039,26.1006676 44.4391489)                                                                   | 0102000020E610000002000000BCC3375ECB193A4082A8A047313846404EC4115AC5193A4085C9F90736384640
  11 |  3551 | Strada Demetru Ion Dobrescu  |  0.0180827403054503 | 260.098696261744 | LINESTRING(26.1006676 44.4391489,26.1004837 44.4391168)                                                                   | 0102000020E6100000020000004EC4115AC5193A4085C9F90736384640F547BD4CB9193A40E58FB3FA34384640
  12 | 12618 | Strada Demetru Ion Dobrescu  |  0.0131499936202747 | 264.684486545318 | LINESTRING(26.1004837 44.4391168,26.1003472 44.4391041)                                                                   | 0102000020E610000002000000F547BD4CB9193A40E58FB3FA34384640C43EA65AB0193A400F852A9034384640
  13 | 15267 | Strada Demetru Ion Dobrescu  | 0.00754724575591681 |              270 | LINESTRING(26.1003472 44.4391041,26.1002682 44.4391041)                                                                   | 0102000020E610000002000000C43EA65AB0193A400F852A90343846402BD43F2DAB193A400F852A9034384640
  14 | 15920 | Strada Demetru Ion Dobrescu  |  0.0279496871795393 | 274.383643372903 | LINESTRING(26.1002682 44.4391041,26.0999773 44.4391264)                                                                   | 0102000020E6100000020000002BD43F2DAB193A400F852A9034384640A6D7C11C98193A40B5673B4B35384640
  15 |  3078 | Strada Demetru Ion Dobrescu  |  0.0402368683063498 | 274.810114873439 | LINESTRING(26.0999773 44.4391264,26.099559 44.4391616)                                                                    | 0102000020E610000002000000A6D7C11C98193A40B5673B4B35384640C005D9B27C193A405BD4827236384640
  16 |  5078 | Intrarea Jean Georgescu      |  0.0807694761338516 | 181.579585685047 | LINESTRING(26.099559 44.4391616,26.0995423 44.438556)                                                                     | 0102000020E610000002000000C005D9B27C193A405BD48272363846409111AB9A7B193A4077BB5E9A22384640
  17 | 10599 | Intrarea Jean Georgescu      |  0.0717709616247938 | 180.915462229908 | LINESTRING(26.0995423 44.438556,26.0995337 44.4380178)                                                                    | 0102000020E6100000020000009111AB9A7B193A4077BB5E9A223846409159620A7B193A406E089FF710384640
  18 | 10750 | Intrarea Cristian Popișteanu |   0.118263316641752 | 260.890300656502 | LINESTRING(26.0995337 44.4380178,26.0983257 44.4378241)                                                                   | 0102000020E6100000020000009159620A7B193A406E089FF71038464037DB81DF2B193A404873BF9E0A384640
  19 |  5821 |                              |  0.0131947280385623 | 297.031684957325 | LINESTRING(26.0983257 44.4378241,26.0982132 44.4378815)                                                                   | 0102000020E61000000200000037DB81DF2B193A404873BF9E0A3846401709128024193A40000341800C384640
  20 |    69 | Strada Academiei             |  0.0122406719549513 | 258.681138775484 | LINESTRING(26.0982132 44.4378815,26.0980898 44.4378568)                                                                   | 0102000020E6100000020000001709128024193A40000341800C3846403912C3691C193A40652A0EB10B384640
  21 |    70 | Strada Academiei             |  0.0721861894497039 | 162.281333761022 | LINESTRING(26.0980898 44.4378568,26.0982584 44.4373291)                                                                   | 0102000020E6100000020000003912C3691C193A40652A0EB10B384640AA8E667627193A40680B6366FA374640
  22 | 11872 | Strada Ion Câmpineanu        |  0.0482852460115031 | 261.682085771161 | LINESTRING(26.0982584 44.4373291,26.0977632 44.4372567)                                                                   | 0102000020E610000002000000AA8E667627193A40680B6366FA37464097C0520207193A407B3A0D07F8374640
  23 |  9804 | Strada Ion Câmpineanu        |   0.014534146173953 | 259.859206855321 | LINESTRING(26.0977632 44.4372567,26.0976156 44.4372303)                                                                   | 0102000020E61000000200000097C0520207193A407B3A0D07F837464055940156FD183A40FFA89729F7374640
  24 |  1895 | Calea Victoriei              |  0.0142297773534049 | 164.250127360143 | LINESTRING(26.0976156 44.4372303,26.0976451 44.4371257)                                                                   | 0102000020E61000000200000055940156FD183A40FFA89729F73746405A1DEF44FF183A40DDDE24BCF3374640
  25 |   247 | Calea Victoriei              |  0.0422448642248112 | 158.851903758982 | LINESTRING(26.0976451 44.4371257,26.0977632 44.4368204)                                                                   | 0102000020E6100000020000005A1DEF44FF183A40DDDE24BCF337464097C0520207193A40E21C1ABBE9374640
  26 |  3181 | Calea Victoriei              |  0.0440726174942764 |  160.73148365408 | LINESTRING(26.0977632 44.4368204,26.0978113 44.4367071,26.0978342 44.4366493,26.0978552 44.4365901,26.0978751 44.4365003) | 0102000020E61000000500000097C0520207193A40E21C1ABBE9374640E3AD4E290A193A402B37AC04E63746402A6E81A90B193A4020A9CF1FE437464059BED3090D193A40F1A0342FE2374640BD97B1570E193A40DB98E83DDF374640
  27 | 11056 | Calea Victoriei              |  0.0184275393677263 | 175.315453326785 | LINESTRING(26.0978751 44.4365003,26.0978827 44.4364411,26.0978864 44.4363624)                                             | 0102000020E610000003000000BD97B1570E193A40DB98E83DDF3746401C5833D70E193A40AD904D4DDD37464022B946150F193A401F9A1EB9DA374640
  28 |  6854 | Calea Victoriei              |  0.0607281803554729 | 181.849232342157 | LINESTRING(26.0978864 44.4363624,26.0978717 44.4359071)                                                                   | 0102000020E61000000200000022B946150F193A401F9A1EB9DA37464034B4A61E0E193A400F4CC9CDCB374640
  29 |  1656 | Calea Victoriei              |  0.0281310487025279 | 178.884695988895 | LINESTRING(26.0978717 44.4359071,26.0978653 44.4358042,26.0978758 44.4356965)                                             | 0102000020E61000000300000034B4A61E0E193A400F4CC9CDCB374640C9E946B30D193A40CF3A996EC8374640E11170630E193A40A73D25E7C4374640
  30 |  7332 | Calea Victoriei              |  0.0572532769499502 | 163.580190144522 | LINESTRING(26.0978758 44.4356965,26.0979996 44.4352764)                                                                   | 0102000020E610000002000000E11170630E193A40A73D25E7C43746406605758016193A403D5C1723B7374640
(30 rows)

