 seq | path_seq | node  | edge  |        cost         |     agg_cost      |             name             |                                                         st_astext                                                         
-----+----------+-------+-------+---------------------+-------------------+------------------------------+---------------------------------------------------------------------------------------------------------------------------
   1 |        1 | 16826 | 18065 |   0.260548547726096 |                 0 |                              | LINESTRING(26.1031652 44.4373788,26.1031254 44.4374698,26.1030738 44.4375551,26.1029835 44.4375941,26.1028076 44.4376091)
   2 |        2 | 11866 | 13272 |   0.100880911666676 | 0.260548547726096 |                              | LINESTRING(26.1028076 44.4376091,26.1027159 44.4377454)
   3 |        3 | 10421 | 10002 |  0.0182971847822312 | 0.361429459392772 |                              | LINESTRING(26.1027159 44.4377454,26.1026277 44.4378672)
   4 |        4 |  4882 | 14659 |  0.0109928064656229 | 0.379726644175003 | Strada Batiștei              | LINESTRING(26.1026277 44.4378672,26.1025297 44.437824)
   5 |        5 |   854 | 14618 |   0.106755472632153 | 0.390719450640626 | Strada Batiștei              | LINESTRING(26.1025297 44.437824,26.102313 44.4377199,26.1015087 44.4375089)
   6 |        6 |   545 |  1627 |   0.039194486676539 | 0.497474923272779 | Bulevardul Nicolae Bălcescu  | LINESTRING(26.1015087 44.4375089,26.1014616 44.43761,26.1013545 44.4378226,26.1013449 44.4378415)
   7 |        7 |  2796 |  2179 |  0.0103375542359144 | 0.536669409949318 | Bulevardul Nicolae Bălcescu  | LINESTRING(26.1013449 44.4378415,26.1013008 44.437929)
   8 |        8 |  3715 |  3152 |  0.0582872683004149 | 0.547006964185232 | Bulevardul Nicolae Bălcescu  | LINESTRING(26.1013008 44.437929,26.1010523 44.4384224)
   9 |        9 |  5515 |  4350 |  0.0686955712464395 | 0.605294232485647 | Bulevardul Nicolae Bălcescu  | LINESTRING(26.1010523 44.4384224,26.1007594 44.4390039)
  10 |       10 |  7568 |  3550 |  0.0176925448536345 | 0.673989803732087 | Bulevardul Nicolae Bălcescu  | LINESTRING(26.1007594 44.4390039,26.1006676 44.4391489)
  11 |       11 |  6232 |  3551 |  0.0180827403054503 | 0.691682348585721 | Strada Demetru Ion Dobrescu  | LINESTRING(26.1004837 44.4391168,26.1006676 44.4391489)
  12 |       12 |  9343 | 12618 |  0.0131499936202747 | 0.709765088891171 | Strada Demetru Ion Dobrescu  | LINESTRING(26.1003472 44.4391041,26.1004837 44.4391168)
  13 |       13 |  4568 | 15267 | 0.00754724575591681 | 0.722915082511446 | Strada Demetru Ion Dobrescu  | LINESTRING(26.1002682 44.4391041,26.1003472 44.4391041)
  14 |       14 |  8632 | 15920 |  0.0279496871795393 | 0.730462328267363 | Strada Demetru Ion Dobrescu  | LINESTRING(26.0999773 44.4391264,26.1002682 44.4391041)
  15 |       15 |  5391 |  3078 |  0.0402368683063498 | 0.758412015446902 | Strada Demetru Ion Dobrescu  | LINESTRING(26.099559 44.4391616,26.0999773 44.4391264)
  16 |       16 |  7993 |  5078 |  0.0807694761338516 | 0.798648883753252 | Intrarea Jean Georgescu      | LINESTRING(26.099559 44.4391616,26.0995423 44.438556)
  17 |       17 |  8845 | 10599 |  0.0717709616247938 | 0.879418359887103 | Intrarea Jean Georgescu      | LINESTRING(26.0995423 44.438556,26.0995337 44.4380178)
  18 |       18 |  5890 | 10750 |   0.118263316641752 | 0.951189321511897 | Intrarea Cristian Popișteanu | LINESTRING(26.0995337 44.4380178,26.0983257 44.4378241)
  19 |       19 |  6129 |  5821 |  0.0131947280385623 |  1.06945263815365 |                              | LINESTRING(26.0983257 44.4378241,26.0982132 44.4378815)
  20 |       20 | 10177 |    69 |  0.0122406719549513 |  1.08264736619221 | Strada Academiei             | LINESTRING(26.0982132 44.4378815,26.0980898 44.4378568)
  21 |       21 |    85 |    70 |  0.0721861894497039 |  1.09488803814716 | Strada Academiei             | LINESTRING(26.0982584 44.4373291,26.0980898 44.4378568)
  22 |       22 |  8063 | 11872 |  0.0482852460115031 |  1.16707422759687 | Strada Ion Câmpineanu        | LINESTRING(26.0977632 44.4372567,26.0982584 44.4373291)
  23 |       23 |  4557 |  9804 |   0.014534146173953 |  1.21535947360837 | Strada Ion Câmpineanu        | LINESTRING(26.0976156 44.4372303,26.0977632 44.4372567)
  24 |       24 |  2817 |  1895 |  0.0142297773534049 |  1.22989361978232 | Calea Victoriei              | LINESTRING(26.0976156 44.4372303,26.0976451 44.4371257)
  25 |       25 |  3254 |   247 |  0.0422448642248112 |  1.24412339713573 | Calea Victoriei              | LINESTRING(26.0976451 44.4371257,26.0977632 44.4368204)
  26 |       26 |   436 |  3181 |  0.0440726174942764 |  1.28636826136054 | Calea Victoriei              | LINESTRING(26.0977632 44.4368204,26.0978113 44.4367071,26.0978342 44.4366493,26.0978552 44.4365901,26.0978751 44.4365003)
  27 |       27 |  5561 | 11056 |  0.0184275393677263 |  1.33044087885481 | Calea Victoriei              | LINESTRING(26.0978751 44.4365003,26.0978827 44.4364411,26.0978864 44.4363624)
  28 |       28 |  6675 |  6854 |  0.0607281803554729 |  1.34886841822254 | Calea Victoriei              | LINESTRING(26.0978864 44.4363624,26.0978717 44.4359071)
  29 |       29 | 12021 |  1656 |  0.0281310487025279 |  1.40959659857801 | Calea Victoriei              | LINESTRING(26.0978717 44.4359071,26.0978653 44.4358042,26.0978758 44.4356965)
  30 |       30 |  2838 |  7332 |  0.0572532769499502 |  1.43772764728054 | Calea Victoriei              | LINESTRING(26.0978758 44.4356965,26.0979996 44.4352764)
  31 |       31 |   279 |    -1 |                   0 |  1.49498092423049 |                              | 
(31 rows)

