 seq | path_seq | node  | edge  |         cost         |       agg_cost       
-----+----------+-------+-------+----------------------+----------------------
   1 |        1 |   279 |  4181 | 0.000469304698459143 |                    0
   2 |        2 |  7280 |  4182 | 0.000361582330357484 | 0.000469304698459143
   3 |        3 |  4639 |  9848 |  0.00105479171877467 | 0.000830887028816627
   4 |        4 | 12224 | 14318 |  0.00220713385175832 |   0.0018856787475913
   5 |        5 |  5124 |  2938 |  0.00053839446664041 |  0.00409281259934961
   6 |        6 |  1721 | 14799 | 4.33263199457023e-05 |  0.00463120706599002
   7 |        7 |  3186 | 15052 |  5.4849339101133e-05 |  0.00467453338593573
   8 |        8 |   696 |  7579 | 0.000394173366297663 |  0.00472938272503686
   9 |        9 | 11317 |   789 | 0.000563903929945326 |  0.00512355609133452
  10 |       10 |  1315 |  8355 |  7.5896310845478e-05 |  0.00568746002127985
  11 |       11 |  2015 | 13339 | 0.000175926177697688 |  0.00576335633212533
  12 |       12 | 10531 |  5711 |  0.00058124326232598 |  0.00593928250982301
  13 |       13 |  9984 | 10670 | 0.000132512112654024 |  0.00652052577214899
  14 |       14 |  6002 |  1884 | 0.000173957351095451 |  0.00665303788480302
  15 |       15 |  3224 |  2139 | 0.000349494825639744 |  0.00682699523589847
  16 |       16 |  3657 |  6834 | 0.000177928356370073 |  0.00717649006153821
  17 |       17 | 11993 | 22931 |  0.00059148580755913 |  0.00735441841790828
  18 |       18 | 16826 |    -1 |                    0 |  0.00794590422546741
(18 rows)

