 seq | path_seq | end_vid | node  | edge  |       cost       |     agg_cost     
-----+----------+---------+-------+-------+------------------+------------------
   1 |        1 |    1458 | 13224 | 19236 | 34.2881362281889 |                0
   2 |        2 |    1458 |   505 | 19237 | 41.0032605665559 | 34.2881362281889
   3 |        3 |    1458 |  1550 |   850 | 42.8455117819296 | 75.2913967947447
   4 |        4 |    1458 |  8663 |   851 | 16.4791192084346 | 118.136908576674
   5 |        5 |    1458 |  6843 |   852 | 8.95717020422545 | 134.616027785109
   6 |        6 |    1458 |  5650 |  5150 | 114.324986792963 | 143.573197989334
   7 |        7 |    1458 |  4506 |  7329 | 7.99060651926608 | 257.898184782297
   8 |        8 |    1458 |  6510 |  7020 | 6.17978906498578 | 265.888791301563
   9 |        9 |    1458 |  7089 |  5565 | 7.17751346475173 | 272.068580366549
  10 |       10 |    1458 | 13024 |  8750 | 8.79876186542804 | 279.246093831301
  11 |       11 |    1458 |  6624 | 20080 | 15.3957935477721 | 288.044855696729
  12 |       12 |    1458 | 15949 |  1477 |  51.738946011487 | 303.440649244501
  13 |       13 |    1458 | 15366 |  1476 | 13.7209541040273 | 355.179595255988
  14 |       14 |    1458 | 13617 |  1475 | 22.7754635654335 | 368.900549360015
  15 |       15 |    1458 |  1378 |  6681 | 5.06086163107774 | 391.676012925449
  16 |       16 |    1458 |   427 | 19125 | 8.09357916215779 | 396.736874556526
  17 |       17 |    1458 |  9285 | 19126 | 75.5114762936174 | 404.830453718684
  18 |       18 |    1458 |  6752 | 19243 | 34.1797743478905 | 480.341930012301
  19 |       19 |    1458 | 10545 | 19242 | 101.394692997563 | 514.521704360192
  20 |       20 |    1458 |  5817 | 19241 | 7.79797705613788 | 615.916397357755
  21 |       21 |    1458 |  7508 | 19248 | 7.18477702088377 | 623.714374413892
  22 |       22 |    1458 | 10074 | 19133 | 4.88430206466937 | 630.899151434776
  23 |       23 |    1458 |  1575 |  5653 | 66.9043211927399 | 635.783453499445
  24 |       24 |    1458 | 14787 |  5652 | 5.99282361875801 | 702.687774692185
  25 |       25 |    1458 | 13428 | 14423 | 6.69286400681673 | 708.680598310944
  26 |       26 |    1458 |  2530 | 14424 | 201.943587700405 |  715.37346231776
  27 |       27 |    1458 |  8322 | 19259 | 144.317717517644 | 917.317050018165
  28 |       28 |    1458 |  1911 | 19103 | 8.21819590424307 | 1061.63476753581
  29 |       29 |    1458 |  8850 | 19113 | 10.7972647438228 | 1069.85296344005
  30 |       30 |    1458 |  8421 |   402 |  13.697201363779 | 1080.65022818388
  31 |       31 |    1458 |  6588 |  9581 | 3.34542374164179 | 1094.34742954765
  32 |       32 |    1458 |   341 |  9580 | 5.24276934308748 |  1097.6928532893
  33 |       33 |    1458 | 15780 |  9579 | 94.4081169243771 | 1102.93562263238
  34 |       34 |    1458 |  1458 |    -1 |                0 | 1197.34373955676
  35 |        1 |    6549 | 13224 |   815 | 122.603330927938 |                0
  36 |        2 |    6549 |  3495 |   820 | 108.873256142959 | 122.603330927938
  37 |        3 |    6549 |   905 | 19177 | 6.69426733935636 | 231.476587070897
  38 |        4 |    6549 |  6893 | 19178 | 5.70936684444834 | 238.170854410253
  39 |        5 |    6549 |  7753 | 19191 | 32.7605982468217 | 243.880221254702
  40 |        6 |    6549 |  8159 |  7015 | 33.7611443217917 | 276.640819501523
  41 |        7 |    6549 |  2477 |  7016 | 6.03595481331128 | 310.401963823315
  42 |        8 |    6549 | 11902 |  7017 |  6.3758555438943 | 316.437918636626
  43 |        9 |    6549 |  2042 |  7018 | 7.99482329223677 | 322.813774180521
  44 |       10 |    6549 |  4004 |  7019 | 67.5830026742709 | 330.808597472757
  45 |       11 |    6549 |  6549 |    -1 |                0 | 398.391600147028
  46 |        1 |    9224 | 13224 | 19236 | 34.2881362281889 |                0
  47 |        2 |    9224 |   505 | 19237 | 41.0032605665559 | 34.2881362281889
  48 |        3 |    9224 |  1550 |  2453 | 80.5051369313371 | 75.2913967947447
  49 |        4 |    9224 | 11811 |  2452 | 25.2517632320277 | 155.796533726082
  50 |        5 |    9224 |   107 |  2451 | 11.6401585942618 |  181.04829695811
  51 |        6 |    9224 |    72 |  2450 | 7.87686325157605 | 192.688455552371
  52 |        7 |    9224 |  5870 |  4638 | 7.01219046590498 | 200.565318803947
  53 |        8 |    9224 |  4835 |  4639 | 10.1148055346673 | 207.577509269852
  54 |        9 |    9224 |  4237 |  4640 | 7.59311019656177 |  217.69231480452
  55 |       10 |    9224 |  6985 |  4641 | 7.36464784212053 | 225.285425001082
  56 |       11 |    9224 |  6229 |  4642 | 21.2289553250381 | 232.650072843202
  57 |       12 |    9224 |  2423 |  4643 | 1.26130287196517 |  253.87902816824
  58 |       13 |    9224 |  2632 |  4644 | 18.9325123493666 | 255.140331040205
  59 |       14 |    9224 |  1390 |  4645 | 2.58468763369201 | 274.072843389572
  60 |       15 |    9224 |   660 |  4646 | 11.1153490120191 | 276.657531023264
  61 |       16 |    9224 |  7472 |  8306 | 9.41644722856957 | 287.772880035283
  62 |       17 |    9224 | 10632 |  8312 | 6.01403012804675 | 297.189327263853
  63 |       18 |    9224 | 13696 |  8325 | 21.3771218114931 | 303.203357391899
  64 |       19 |    9224 |   658 |  8326 | 18.0591922185045 | 324.580479203393
  65 |       20 |    9224 |  7225 |  8327 |  16.620613953415 | 342.639671421897
  66 |       21 |    9224 |  9454 |  8315 | 26.3973116183559 | 359.260285375312
  67 |       22 |    9224 | 11977 | 19152 | 20.2516261472536 | 385.657596993668
  68 |       23 |    9224 | 16021 | 18830 | 97.5014751942106 | 405.909223140922
  69 |       24 |    9224 | 14235 | 19309 | 26.0131000911547 | 503.410698335132
