 gid |  osm_id   | tag_id |         length         |      length_m      |                name                | source | target | source_osm | target_osm |          cost          |      reverse_cost      |       cost_s        |   reverse_cost_s    | rule | one_way | oneway  |     x1     |     y1     |     x2     |     y2     | maxspeed_forward | maxspeed_backward | priority |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          the_geom                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
-----+-----------+--------+------------------------+--------------------+------------------------------------+--------+--------+------------+------------+------------------------+------------------------+---------------------+---------------------+------+---------+---------+------------+------------+------------+------------+------------------+-------------------+----------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   1 | 325274954 |    105 |  0.0016988773374212503 | 187.54776654122136 |                                    |     17 |     16 | 3319417494 | 3319417490 |  0.0016988773374212503 |  0.0016988773374212503 |  13.503439190967939 |  13.503439190967939 |      |       0 | UNKNOWN | 89.2133414 | 22.2233244 | 89.2135858 | 22.2216654 |               50 |                50 |        0 | 0102000020E61000000300000081F8AF62A74D56401966B2C92B393640F678C663AB4D5640733D1B03FC383640F678C663AB4D56409EA74B10BF383640
   2 | 325274954 |    105 |  0.0038830393242852267 |  419.4509345114142 |                                    |     28 |     25 | 3319417841 | 3319417780 |  0.0038830393242852267 |  0.0038830393242852267 |   30.20046728482182 |   30.20046728482182 |      |       0 | UNKNOWN | 89.2062843 | 22.2325533 | 89.2086166 | 22.2294577 |               50 |                50 |        0 | 0102000020E610000007000000688B10C3334D5640AE13F29C883B36404860BD9B384D5640ED7F80B56A3B3640B6A4FED53E4D56407BF1EAC1493B3640B26C414A474D5640DF22E6481D3B3640317898F64D4D56409713FE56FC3A36409FBCD930544D5640E63A32FBE13A3640C69970F9594D5640BD5065BDBD3A3640
   3 | 397702449 |    101 |   0.004560007216010373 |  472.7134837321114 |                                    |     69 |     68 | 4004783481 | 4004783480 |   0.004560007216010373 |   0.004560007216010373 |   34.03537082871202 |   34.03537082871202 |      |       0 | UNKNOWN |  88.975718 |  22.412437 | 88.9713621 |  22.411088 |               50 |                50 |        0 | 0102000020E6100000020000009607E929723E56400DA9A27895693640BA04F1CB2A3E56402EC72B103D693640
   4 | 325274954 |    105 |   0.005765213220446112 |  621.4711173837288 |                                    |     52 |     54 | 3319471910 | 3319471956 |   0.005765213220446112 |   0.005765213220446112 |   44.74592045162847 |   44.74592045162847 |      |       0 | UNKNOWN | 89.2137163 | 22.2372726 | 89.2167875 | 22.2391336 |               50 |                50 |        0 | 0102000020E61000000A000000D1C72187AD4D5640A53CA9E5BD3C3640FA2F6BBDBA4D5640E90FCD3CB93C36403E0C0808C14D5640B7AC0CF49A3C36400CE9F010C64D564041762854813C36407233DC80CF4D56400CF09359733C364057BF886CD64D564066AF2DF2A13C36403B4B3558DD4D56401B738D85D73C36409B9B25B7DC4D56408E869D73013D3640DCFA44F9DD4D5640B3BFA211223D36409FABADD8DF4D5640EF5F0FDC373D3640
   5 | 325274948 |    105 |   0.005356882621503004 |  573.7033963932544 |                                    |     19 |     24 | 3319417506 | 3319417768 |   0.005356882621503004 |   0.005356882621503004 |  41.306644540314316 |  41.306644540314316 |      |       0 | UNKNOWN | 89.2011764 | 22.2254359 | 89.2000359 | 22.2290053 |               50 |                50 |        0 | 0102000020E61000000800000087AEFA12E04C564026D8C92AB63936402F803A2FDF4C5640A7AE7C96E7393640D56828A4EB4C5640F0BD6488083A3640B4DE14FBF04C5640F9821612303A364087C5A86BED4C56400348C89B573A36402F803A2FDF4C5640F36ACA5F6B3A364088974CBAD24C56402C3295D97B3A3640A9216063CD4C5640551C6217A03A3640
   6 | 652009878 |    101 |    0.03183112594250954 |  3312.871237312623 | Koyra river                        |     78 |      1 | 6113405981 |  240407981 |    0.03183112594250954 |    0.03183112594250954 |  238.52672908650885 |  238.52672908650885 |      |       0 | UNKNOWN | 89.3425959 | 22.3912694 | 89.3131055 |  22.380786 |               50 |                50 |        0 | 0102000020E61000000F000000998F5A17ED555640F0EC3C3B2A643640D56993799A555640B8335D99016436400C231862505556402557563FDB63364045926AE91B5556406A9780A9B06336409ADA087ADE5456409AF4ADC55D633640C04EA03EB85456403A32A0281A6336408EDA0E5798545640B699AF37D6623640586A6226765456403A4668BA8D623640B3B27DC85B5456401342ACA34F623640BDE9F1D65454564000F61B374662364017E4784F2F54564020CE6850D9613640FA545FA722545640DD330175B96136409E7B0F971C545640240B98C0AD613640DD38735916545640B7C6B13F9A613640A8ACA6EB0954564050C6F8307B613640
   7 | 706953867 |    105 |      0.003428123086461 | 353.63738584213115 |                                    |    252 |      2 | 6643368714 |  240410492 |      0.003428123086461 |      0.003428123086461 |  25.461891780633444 |  25.461891780633444 |      |       0 | UNKNOWN | 89.2472058 | 22.2554049 | 89.2506163 | 22.2550668 |               50 |                50 |        0 | 0102000020E6100000030000006B984638D24F5640F7BC2C3762413640CC20E3F6F04F5640111C9771534136400D16F3180A5056409E4BCC0E4C413640
   8 | 325278726 |    105 |   0.004831016248098703 |  502.7873018914748 |                                    |     29 |      4 | 3319436890 |  402858814 |   0.004831016248098703 |   0.004831016248098703 |   36.20068573618618 |   36.20068573618618 |      |       0 | UNKNOWN | 89.1992855 | 22.2522303 | 89.2036701 | 22.2525282 |               50 |                50 |        0 | 0102000020E6100000100000004A44F817C14C56406E8F392A92403640241AEE6DC44C5640CCD3B9A294403640227E0FA8C84C5640A781D54796403640AFB085C5CD4C564005C655C098403640AC14A7FFD14C5640CCD3B9A2944036407AC37DE4D64C56402A183A1B974036409615D401DA4C5640885CBA9399403640DE7C7E73DA4C56404E000F56AD403640AB2B5558DF4C5640053175FCBC40364079DA2B3DE44C5640053175FCBC403640D06C0D5BE94C5640EB63F492B540364050786407F04C5640B1715875B1403640FF380609F64C56400FB6D8EDB3403640F660527CFC4C5640EB63F492B54036404DF3339A014D56402FDBF3A1B040364013AB50EE084D5640585128B0A5403640
   9 | 325281679 |    105 |   0.009115005541826393 |  964.5412331872867 |                                    |     44 |      7 | 3319471683 |  402859080 |   0.009115005541826393 |   0.009115005541826393 |   69.44696878948464 |   69.44696878948464 |      |       0 | UNKNOWN | 89.2291296 | 22.2272372 | 89.2359424 | 22.2291714 |               50 |                50 |        0 | 0102000020E61000001C000000EAA2320FAA4E5640436F96372C3A364050B05AF4A94E5640D882DE1B433A3640589FBCD9B04E5640306FC449503A3640FF70FCF5AF4E564006C545A45C3A3640EB0D08BEB34E56401B3A2CC36E3A3640F6984869B64E56408DF3925A833A3640B28009DCBA4E5640E6DF7888903A3640270120DDBE4E564005DAC298993A36406CCCEB88C34E564024FFDD4C963A36404AA6F919CD4E564005DAC298993A36406947BB1BD54E5640C162C3899E3A364085991139D84E56403974C46BA83A364055E4C6E3D84E56406D0EC63EB73A36407CC15DACDE4E5640AB2D2B03BD3A36404A703491E34E5640CB5246B7B93A3640525F9676EA4E5640CB5246B7B93A3640E6CDE15AED4E5640D0AAE001AF3A364014E74DEAF04E5640E087DE3D9B3A3640D0CE0E5DF54E5640108AF72D843A36402761F07AFA4E56403507AD2C763A36405A65A6B4FE4E56402067F569703A3640DA70FD60054F5640E14790A56A3A3640CBADFF290B4F5640D7C22CB4733A36407C0A80F10C4F5640108AF72D843A36408795C09C0F4F56401FD214A6943A36404AB956D6114F5640C162C3899E3A364018682DBB164F5640C162C3899E3A364058EF26AE194F5640B42D14FAAA3A3640
