 gid | source | target |      agg_cost      
-----+--------+--------+--------------------
  20 |     36 |     13 | 3.9047199275446904
  20 |    293 |    145 |  4.742001982159765
  21 |     36 |     98 | 1.3290329100878826
  21 |     36 |     13 | 3.9047199275446904
  40 |     38 |     24 |  9.244894208545695
  41 |     38 |     24 |  9.244894208545695
  59 |    159 |     35 |  6.144599533802122
  59 |    155 |     35 |  8.764606484722782
  59 |    159 |    153 |   8.96952057477067
  60 |    159 |     35 |  6.144599533802122
  60 |    155 |     35 |  8.764606484722782
  61 |    158 |     36 | 1.4493409579441925
  61 |    158 |    312 | 2.2354545727659896
  62 |     35 |    142 |  5.965422621612838
  62 |    158 |     36 | 1.4493409579441925
  63 |     93 |     37 |  6.304422409275661
  63 |     13 |     37 | 6.1003822505499805
  64 |     93 |     37 |  6.304422409275661
  64 |     13 |     37 | 6.1003822505499805
  65 |    224 |     38 |   8.13745409246623
  66 |     82 |    260 |  9.601885897573766
  66 |     82 |    228 |   8.30655600335205
  66 |    224 |     38 |   8.13745409246623
 128 |    306 |    131 |  9.680181862857536
 128 |    306 |     79 |  8.821989181001467
 129 |     79 |     80 |  9.308698417157776
 130 |     38 |     24 |  9.244894208545695
 132 |     92 |     82 |  9.405641379586196
 153 |    111 |     93 |  7.447294838371644
 153 |    227 |     93 |  7.135132752325832
 154 |    111 |     93 |  7.447294838371644
 154 |    227 |     93 |  7.135132752325832
 162 |     36 |     13 | 3.9047199275446904
 162 |     36 |     98 | 1.3290329100878826
 163 |     98 |    142 | 4.7488523586028935
 163 |     98 |     99 | 1.2794927512370855
 166 |    125 |    101 |  9.125993464704953
 167 |    125 |    101 |  9.125993464704953
 180 |    145 |    144 |  7.238631814446654
 180 |    145 |    109 |  3.970347591636453
 181 |    145 |    109 |  3.970347591636453
 182 |    144 |    110 |  8.762659091483645
 183 |    144 |    110 |  8.762659091483645
 183 |    144 |    167 |  9.741611163124018
 184 |     37 |    223 |  7.045889619290997
 200 |    128 |    129 |  9.892410474579076
 202 |    129 |    125 |  7.696121163973777
 202 |    129 |    130 |  8.985428444539608
 203 |    129 |    125 |  7.696121163973777
 204 |    125 |    101 |  9.125993464704953
 207 |    107 |    132 |  8.789683360449096
 208 |    128 |    129 |  9.892410474579076
 208 |    132 |    133 |  7.866100726675792
 208 |    132 |    129 |  6.548259057854857
 209 |    132 |    129 |  6.548259057854857
 209 |    128 |    129 |  9.892410474579076
 210 |    129 |    125 |  7.696121163973777
 210 |    129 |    130 |  8.985428444539608
 211 |    129 |    130 |  8.985428444539608
 212 |    306 |     79 |  8.821989181001467
 212 |    306 |    131 |  9.680181862857536
 213 |    107 |    132 |  8.789683360449096
 213 |    109 |    132 |   5.41933819672286
 214 |    107 |    132 |  8.789683360449096
 214 |    109 |    132 |   5.41933819672286
 215 |    132 |    129 |  6.548259057854857
 215 |    132 |    133 |  7.866100726675792
 216 |    132 |    133 |  7.866100726675792
 230 |     35 |    142 |  5.965422621612838
 230 |     98 |     99 | 1.2794927512370855
 230 |     98 |    142 | 4.7488523586028935
 231 |     35 |    142 |  5.965422621612838
 231 |     98 |    142 | 4.7488523586028935
 232 |    142 |    143 |  6.032675642662768
 232 |    142 |    169 | 7.9353372537275675
 233 |     99 |    145 |  2.427530387055349
 233 |    142 |    143 |  6.032675642662768
 234 |    145 |    144 |  7.238631814446654
 234 |    145 |    109 |  3.970347591636453
 235 |    143 |    168 |  8.843362432189721
 235 |    145 |    144 |  7.238631814446654
 236 |     99 |    145 |  2.427530387055349
 236 |    293 |    145 |  4.742001982159765
 237 |     99 |    145 |  2.427530387055349
 237 |    293 |    145 |  4.742001982159765
 251 |    159 |     35 |  6.144599533802122
 251 |    159 |    153 |   8.96952057477067
 252 |    160 |    359 |     9.602713754631
 254 |    170 |    160 |  9.451766455258682
 255 |    169 |    156 |  8.589593153363698
 256 |    155 |     35 |  8.764606484722782
 256 |    169 |    156 |  8.589593153363698
 257 |    373 |    157 |   5.84798226677255
 257 |    373 |    374 | 6.8444698459051825
 258 |     13 |     37 | 6.1003822505499805
 258 |    373 |    157 |   5.84798226677255
 259 |    157 |    158 |  4.022391725856522
 259 |    157 |    213 |  5.745772843183961
 261 |    170 |    160 |  9.451766455258682
 262 |    170 |    160 |  9.451766455258682
 275 |    144 |    167 |  9.741611163124018
 276 |    144 |    110 |  8.762659091483645
 276 |    144 |    167 |  9.741611163124018
 277 |    143 |    168 |  8.843362432189721
 278 |    143 |    168 |  8.843362432189721
 279 |    142 |    169 | 7.9353372537275675
 280 |    142 |    169 | 7.9353372537275675
 280 |    142 |    143 |  6.032675642662768
 281 |     11 |    170 |  9.411980337037173
 281 |    156 |    170 |  9.245636287136858
 282 |    156 |    170 |  9.245636287136858
 282 |     11 |    170 |  9.411980337037173
 339 |    213 |    364 |  5.920892571153665
 341 |    157 |    213 |  5.745772843183961
 341 |    157 |    158 |  4.022391725856522
 351 |     37 |    223 |  7.045889619290997
 352 |    223 |    224 |  7.564428934549152
 355 |    228 |    227 |  7.675480664240286
 356 |     82 |    260 |  9.601885897573766
 356 |     82 |    228 |   8.30655600335205
 365 |     11 |    170 |  9.411980337037173
 396 |     82 |    260 |  9.601885897573766
 396 |     82 |    228 |   8.30655600335205
 443 |    112 |    293 |  6.308663595703528
 443 |    112 |    306 |  8.086671350735411
 462 |    112 |    306 |  8.086671350735411
 462 |    112 |    293 |  6.308663595703528
 463 |    112 |    306 |  8.086671350735411
