ALTER TABLE
UPDATE 529
 source | target | edge |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          the_geom                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
--------+--------+------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     91 |     78 |  127 | 0102000020E610000002000000F48EAE2D97355240EDFFD258B11C3340CE44C7C49C3552405ACBAEC5B81C3340
     90 |     91 |  149 | 0102000020E61000000200000048EF65EC95355240BC9E9E2DD61C3340F48EAE2D97355240EDFFD258B11C3340
     39 |     90 |  148 | 0102000020E610000002000000DE86623C943552406A508FC8D21C334048EF65EC95355240BC9E9E2DD61C3340
     77 |     91 |  150 | 0102000020E6100000020000007229F8B7953552404F907D35AC1C3340F48EAE2D97355240EDFFD258B11C3340
     58 |     77 |  125 | 0102000020E610000002000000D2318C60883552404D672783A31C33407229F8B7953552404F907D35AC1C3340
     51 |     58 |   96 | 0102000020E6100000020000004A9693507A35524033E25D899B1C3340D2318C60883552404D672783A31C3340
     51 |     23 |   38 | 0102000020E6100000020000004A9693507A35524033E25D899B1C3340FD570C0D7A355240CE2C53DD6D1C3340
     22 |     23 |   39 | 0102000020E6100000020000002DEDD45C6E35524013680B63661C3340FD570C0D7A355240CE2C53DD6D1C3340
    314 |     22 |   35 | 0102000020E6100000020000001DA8F8646A3552403B504C83471C33402DEDD45C6E35524013680B63661C3340
    314 |     21 |   32 | 0102000020E6100000030000001DA8F8646A3552403B504C83471C3340B97592086835524021D4FB7C4A1C334045E4AA686235524028863F1E551C3340
     80 |     21 |   33 | 0102000020E61000000300000070E591E45E355240F99FFCDD3B1C3340756E7FD36035524092FF6E264B1C334045E4AA686235524028863F1E551C3340
     79 |     80 |  129 | 0102000020E610000002000000066685225D355240EF1417EC2B1C334070E591E45E355240F99FFCDD3B1C3340
    306 |     79 |  128 | 0102000020E61000000200000036D6B4415C3552407A820E04121C3340066685225D355240EF1417EC2B1C3340
    306 |    131 |  212 | 0102000020E61000000200000036D6B4415C3552407A820E04121C334037ED180D4F355240A277CF262C1C3340
    131 |    127 |  205 | 0102000020E61000000200000037ED180D4F355240A277CF262C1C3340D1915CFE43355240191648F5421C3340
    127 |    123 |  199 | 0102000020E610000002000000D1915CFE43355240191648F5421C334077C7180E3A3552401B5C8473571C3340
    123 |    267 |  407 | 0102000020E61000000200000077C7180E3A3552401B5C8473571C3340AEF4DA6C2C35524042D5438F731C3340
    267 |      3 |    6 | 0102000020E610000002000000AEF4DA6C2C35524042D5438F731C3340FD7D10131E3552405C10DB27911C3340
    225 |      3 |    7 | 0102000020E610000002000000E59A02991D355240A0F2F972B01C3340FD7D10131E3552405C10DB27911C3340
      4 |    225 |  353 | 0102000020E6100000020000001508967E1D3552409015FC36C41C3340E59A02991D355240A0F2F972B01C3340
      5 |      4 |    9 | 0102000020E6100000020000004AA82A7E1D35524097355607E51C33401508967E1D3552409015FC36C41C3340
    207 |      5 |   10 | 0102000020E6100000020000001581FB4B1C3552407E4974E0E61C33404AA82A7E1D35524097355607E51C3340
    175 |      3 |    8 | 0102000020E6100000020000000F7C0C561C355240A8114427951C3340FD7D10131E3552405C10DB27911C3340
    122 |    175 |  291 | 0102000020E610000002000000CEB4B39E10355240539D691DB01C33400F7C0C561C355240A8114427951C3340
    141 |    122 |  198 | 0102000020E6100000020000004C8347C00D355240735B6CA4B61C3340CEB4B39E10355240539D691DB01C3340
    121 |    141 |  229 | 0102000020E610000003000000471163E30B3552400BA07312A51C33401DD434DE0C35524000773469AE1C33404C8347C00D355240735B6CA4B61C3340
    332 |    121 |  196 | 0102000020E610000002000000F092EE9D0735524078E9CB77951C3340471163E30B3552400BA07312A51C3340
    302 |    332 |  499 | 0102000020E610000003000000E1534A1902355240EF3B86C77E1C3340F7729F1C053552403B7AB2518C1C3340F092EE9D0735524078E9CB77951C3340
    303 |    302 |  456 | 0102000020E610000003000000A8F11CDBFC345240D9CC21A9851C33407EB1529CFE34524075F3435B841C3340E1534A1902355240EF3B86C77E1C3340
