ALTER TABLE
UPDATE 36
 seq | path_seq | node  | edge  |       cost        |     agg_cost     
-----+----------+-------+-------+-------------------+------------------
   1 |        1 | 14441 | 17286 |  15.6329128635657 |                0
   2 |        2 |  1432 |  8849 |  6.05285470000057 | 15.6329128635657
   3 |        3 |  2874 | 12610 |  1.09783108693388 | 21.6857675635663
   4 |        4 |  9203 | 16131 | 0.659568387937376 | 22.7835986505002
   5 |        5 |  9640 | 15130 |   6.4053283579546 | 23.4431670384376
   6 |        6 |  3477 |  1185 |  1.05011295081662 | 29.8484953963922
   7 |        7 |  2057 |  3054 |  2.91881356432924 | 30.8986083472088
   8 |        8 |  5330 |  3718 |  5.33132172730635 |  33.817421911538
   9 |        9 |  6496 | 11387 |  5.13996457197222 | 39.1487436388444
  10 |       10 |  7161 | 15211 | 0.286520832858161 | 44.2887082108166
  11 |       11 |  3962 |  5329 |  3.21772467145593 | 44.5752290436748
  12 |       12 |  9299 | 13932 |  12.8270920764597 | 47.7929537151307
  13 |       13 | 11511 |  4084 |  4.93374705447028 | 60.6200457915904
  14 |       14 |  7178 | 11024 |  2.98974712362225 | 65.5537928460607
  15 |       15 |  6562 | 11025 |  2.53753411312482 | 68.5435399696829
  16 |       16 |   751 |  7610 |  3.35560621081122 | 71.0810740828078
  17 |       17 |   657 |  6570 |  3.52017057215902 |  74.436680293619
  18 |       18 | 11503 |  9145 |  3.43519661699701 |  77.956850865778
  19 |       19 |  3363 |    -1 |                 0 |  81.392047482775
(19 rows)

