 seq | path_seq | node  | edge  |        cost         |      agg_cost      
-----+----------+-------+-------+---------------------+--------------------
   1 |        1 |  3363 |  2111 |  0.0984186808262437 |                  0
   2 |        2 |  3724 |   804 |  0.0167463946446267 | 0.0984186808262437
   3 |        3 |  1434 |   805 |  0.0455684402156823 |   0.11516507547087
   4 |        4 |  3944 |  9492 |   0.170001619360982 |  0.160733515686553
   5 |        5 | 11511 | 13932 |   0.356308113234992 |  0.330735135047534
   6 |        6 |  9299 | 10023 |  0.0938799146340183 |  0.687043248282527
   7 |        7 |  4917 | 15351 | 0.00510466047724381 |  0.780923162916545
   8 |        8 |  9044 | 12529 |  0.0202049842094392 |  0.786027823393789
   9 |        9 |  3962 | 15211 | 0.00795891202383781 |  0.806232807603228
  10 |       10 |  7161 | 15737 | 0.00954516585613234 |  0.814191719627066
  11 |       11 |  6702 | 11100 |  0.0554802641895568 |  0.823736885483198
  12 |       12 |  7572 |  4001 |  0.0903474971909572 |  0.879217149672755
  13 |       13 |  7024 | 13917 |  0.0130716034180134 |  0.969564646863712
  14 |       14 | 11487 |  1638 |  0.0340756468103216 |  0.982636250281725
  15 |       15 |  2848 |  3521 |  0.0654148678811896 |   1.01671189709205
  16 |       16 |  6175 |  7336 |  0.0106322153383371 |   1.08212676497324
  17 |       17 |   258 |  9217 |    0.15906640274498 |   1.09275898031157
  18 |       18 |  3477 | 15130 |   0.177925787720961 |   1.25182538305655
  19 |       19 |  9640 | 16131 |  0.0183213441093716 |   1.42975117077751
  20 |       20 |  9203 | 12610 |  0.0304953079703854 |   1.44807251488689
  21 |       21 |  2874 |  8849 |   0.168134852777794 |   1.47856782285727
  22 |       22 |  1432 | 17286 |   0.434247579543493 |   1.64670267563507
  23 |       23 | 14441 |    -1 |                   0 |   2.08095025517856
(23 rows)

