 seq |       cost       |            name             |      heading      |                                                                                                st_astext                                                                                                
-----+------------------+-----------------------------+-------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   1 | 7.23806223185627 |                             |  5.47524812984737 | LINESTRING(7.1187971 50.7149767,7.1187404 50.7150309)
   2 | 42.5250082283043 |                             |  4.33276222953596 | LINESTRING(7.1187404 50.7150309,7.1182306 50.7148275)
   3 |  9.2908824699497 |                             |  4.52416747510972 | LINESTRING(7.1182306 50.7148275,7.1181046 50.7148035)
   4 | 106.843572939635 | Joseph-Beuys-Allee          |  5.49920628270578 | LINESTRING(7.1181046 50.7148035,7.1172954 50.715615)
   5 | 61.6198657678989 | Joseph-Beuys-Allee          |  5.44223604171501 | LINESTRING(7.1172954 50.715615,7.1171851 50.7157579,7.1168464 50.7160422,7.1167952 50.7160625)
   6 | 3.20694890824723 | Rheinweg                    |  4.80786617276356 | LINESTRING(7.1167952 50.7160625,7.1167503 50.7160668)
   7 |     3.8074320844 | Rheinweg                    |  4.52692424889154 | LINESTRING(7.1167503 50.7160668,7.1166986 50.7160571)
   8 | 1136.37890032744 |                             |  5.49729972389679 | LINESTRING(7.1166986 50.7160571,7.1149061 50.7178493,7.1147497 50.7180781,7.1146719 50.718165,7.1145112 50.7182509,7.1135093 50.7192668,7.1134434 50.7193114,7.1134087 50.7193349,7.1080776 50.7246697)
   9 | 4.88786325760668 | Lessingstraße               |  1.04892542359734 | LINESTRING(7.1080776 50.7246697,7.1081289 50.7246992)
  10 | 202.234633418538 | Kaiserstraße                |   5.4898652315813 | LINESTRING(7.1081289 50.7246992,7.1080866 50.72474,7.1080589 50.7247667,7.1078678 50.724951,7.1065767 50.726227)
  11 | 108.068852543753 | Kaiserstraße                |  5.49231341180503 | LINESTRING(7.1065767 50.726227,7.1057501 50.7270446)
  12 | 17.8011896534849 | Kaiserstraße                |  5.49261732279518 | LINESTRING(7.1057501 50.7270446,7.105614 50.7271793)
  13 | 208.481084554304 | Kaiserstraße                |  5.57179478843925 | LINESTRING(7.105614 50.7271793,7.1055095 50.7272826,7.1053634 50.7274362,7.1049418 50.7279276,7.1043373 50.7286612,7.1041973 50.7288229)
  14 | 41.2306261017116 | Kaiserstraße                |  5.61021695440483 | LINESTRING(7.1041973 50.7288229,7.1041442 50.7288932,7.1039337 50.7291536)
  15 | 146.167599369216 | Kaiserstraße                |  5.57605828430552 | LINESTRING(7.1039337 50.7291536,7.1029922 50.730254,7.1029467 50.7303086)
  16 | 64.0037638100452 | Kaiserstraße                |  5.57028082970214 | LINESTRING(7.1029467 50.7303086,7.1025106 50.730813)
  17 | 44.3680301760183 | Kaiserstraße                |  5.59381475599874 | LINESTRING(7.1025106 50.730813,7.1022193 50.7311664)
  18 | 52.2387322440832 | Hans-Iwand-Straße           | 0.948215303718884 | LINESTRING(7.1022193 50.7311664,7.1027094 50.7315182)
  19 | 66.8124834896632 | An der Evangelischen Kirche |   5.1976140184811 | LINESTRING(7.1027094 50.7315182,7.1019815 50.731902)
  20 | 43.0593467919035 | An der Evangelischen Kirche |   5.1668076171977 | LINESTRING(7.1019815 50.731902,7.1014982 50.7321381)
  21 | 46.2298956871004 | Kaiserplatz                 | 0.896594694200448 | LINESTRING(7.1014982 50.7321381,7.101799 50.7323745,7.1019054 50.7324635)
  22 | 43.5878508555243 | Am Neutor                   |  5.16575734617977 | LINESTRING(7.1019054 50.7324635,7.1017062 50.7325747,7.1014165 50.7327017)
  23 | 42.3158201638911 | Am Neutor                   |  5.14942434972155 | LINESTRING(7.1014165 50.7327017,7.1009338 50.7329272)
  24 | 7.68669989160877 | Am Neutor                   |  5.17510157330919 | LINESTRING(7.1009338 50.7329272,7.1008482 50.7329699)
  25 | 27.1576709815517 | Martinsplatz                |  5.48732269248256 | LINESTRING(7.1008482 50.7329699,7.1007809 50.733012,7.1006406 50.7331732)
  26 | 12.0881718148334 | Martinsplatz                |  5.78056661352778 | LINESTRING(7.1006406 50.7331732,7.1005842 50.7332758)
  27 | 5.61017957171694 |                             |  5.91683226658509 | LINESTRING(7.1005842 50.7332758,7.1005654 50.7333248)
  28 | 49.9882137762625 |                             |  5.25568418446752 | LINESTRING(7.1005654 50.7333248,7.1004814 50.7333844,7.1002964 50.7335171,7.1000549 50.7336331)
  29 | 62.2655406576079 |                             |  4.91250708492959 | LINESTRING(7.1000549 50.7336331,7.0992148 50.7338035)
  30 | 7.86669095707821 | Münsterplatz                | 0.518011776679894 | LINESTRING(7.0992148 50.7338035,7.0992527 50.73387)
  31 | 61.6681820931258 | Münsterplatz                |  5.10393673173242 | LINESTRING(7.0992527 50.73387,7.0985205 50.7341723)
  32 | 9.23425169096536 |                             |  5.15291932102226 | LINESTRING(7.0985205 50.7341723,7.0984155 50.7342218)
  33 | 42.6506675393865 | Windeckstraße               |  5.11858322613311 | LINESTRING(7.0984155 50.7342218,7.0979154 50.7344369)
  34 | 8.60423401974624 | Windeckstraße               |  5.19160772141209 | LINESTRING(7.0979154 50.7344369,7.0978211 50.7344859)
(34 rows)

ROLLBACK
