 seq |  gid  |          name           |        cost         |     azimuth      |                                                                                                                             route_readable                                                                                                                              |                                                                                                                                                                                         route_geom                                                                                                                                                                                         
-----+-------+-------------------------+---------------------+------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   1 |  8366 |                         |   0.121267483181179 | 217.047333332684 | LINESTRING(-71.040802 42.351054,-71.0414012 42.3502602)                                                                                                                                                                                                                 | 0102000020E61000000200000021E7FD7F9CC251C0A3906456EF2C4540F8003851A6C251C0930B8453D52C4540
   2 |  8365 |                         |  0.0239114686446986 | 217.062713634827 | LINESTRING(-71.0414012 42.3502602,-71.0415194 42.3501037)                                                                                                                                                                                                               | 0102000020E610000002000000F8003851A6C251C0930B8453D52C45409249FC40A8C251C0B3DAB232D02C4540
   3 |  9271 | World Trade Center Road |  0.0510325722213837 | 216.995870383495 | LINESTRING(-71.0415194 42.3501037,-71.0417712 42.3497695)                                                                                                                                                                                                               | 0102000020E6100000020000009249FC40A8C251C0B3DAB232D02C45408A7A1C61ACC251C0B3D1393FC52C4540
   4 |  9292 | World Trade Center Road |   0.101153842472227 | 217.053603741397 | LINESTRING(-71.0417712 42.3497695,-71.0422711 42.3491074)                                                                                                                                                                                                               | 0102000020E6100000020000008A7A1C61ACC251C0B3D1393FC52C45403804D891B4C251C053E5208DAF2C4540
   5 | 19257 | World Trade Center Road |  0.0608710944704568 | 216.653748923039 | LINESTRING(-71.0422711 42.3491074,-71.0425686 42.3487076)                                                                                                                                                                                                               | 0102000020E6100000020000003804D891B4C251C053E5208DAF2C45408935A671B9C251C0EEEE5C73A22C4540
   6 | 19710 | World Trade Center Road |   0.234868659580492 | 217.556827465065 | LINESTRING(-71.0425686 42.3487076,-71.0433997 42.3475907,-71.0434581 42.3475149,-71.0437451 42.3471775)                                                                                                                                                                 | 0102000020E6100000040000008935A671B9C251C0EEEE5C73A22C4540FF09890FC7C251C0667220DA7D2C4540C38F7B04C8C251C0B52F455E7B2C45400E773FB8CCC251C01A34F44F702C4540
   7 | 18214 | World Trade Center Road |  0.0147122888254378 | 219.787561104133 | LINESTRING(-71.0437451 42.3471775,-71.0438233 42.3470836)                                                                                                                                                                                                               | 0102000020E6100000020000000E773FB8CCC251C01A34F44F702C454061133E00CEC251C02D7D433C6D2C4540
   8 | 17997 | Summer Street           |  0.0186864573668544 | 118.589368872019 | LINESTRING(-71.0438233 42.3470836,-71.043671 42.3470006)                                                                                                                                                                                                                | 0102000020E61000000200000061133E00CEC251C02D7D433C6D2C454027327381CBC251C0A05802846A2C4540
   9 | 17456 | Summer Street           |  0.0961813968889076 | 117.849071651488 | LINESTRING(-71.043671 42.3470006,-71.0428787 42.346582)                                                                                                                                                                                                                 | 0102000020E61000000200000027327381CBC251C0A05802846A2C45407B8C4D86BEC251C0EEB089CC5C2C4540
