 seq | path_seq | node  | edge  |        cost         |     agg_cost      
-----+----------+-------+-------+---------------------+-------------------
   1 |        1 | 16826 | 18065 |   0.260548547726096 |                 0
   2 |        2 | 11866 | 13272 |   0.100880911666676 | 0.260548547726096
   3 |        3 | 10421 | 10002 |  0.0182971847822312 | 0.361429459392772
   4 |        4 |  4882 | 14659 |  0.0109928064656229 | 0.379726644175003
   5 |        5 |   854 | 14618 |   0.106755472632153 | 0.390719450640626
   6 |        6 |   545 |  1627 |   0.039194486676539 | 0.497474923272779
   7 |        7 |  2796 |  2179 |  0.0103375542359144 | 0.536669409949318
   8 |        8 |  3715 |  3152 |  0.0582872683004149 | 0.547006964185232
   9 |        9 |  5515 |  4350 |  0.0686955712464395 | 0.605294232485647
  10 |       10 |  7568 |  3550 |  0.0176925448536345 | 0.673989803732087
  11 |       11 |  6232 |  3551 |  0.0180827403054503 | 0.691682348585721
  12 |       12 |  9343 | 12618 |  0.0131499936202747 | 0.709765088891171
  13 |       13 |  4568 | 15267 | 0.00754724575591681 | 0.722915082511446
  14 |       14 |  8632 | 15920 |  0.0279496871795393 | 0.730462328267363
  15 |       15 |  5391 |  3078 |  0.0402368683063498 | 0.758412015446902
  16 |       16 |  7993 |  5078 |  0.0807694761338516 | 0.798648883753252
  17 |       17 |  8845 | 10599 |  0.0717709616247938 | 0.879418359887103
  18 |       18 |  5890 | 10750 |   0.118263316641752 | 0.951189321511897
  19 |       19 |  6129 |  5821 |  0.0131947280385623 |  1.06945263815365
  20 |       20 | 10177 |    69 |  0.0122406719549513 |  1.08264736619221
  21 |       21 |    85 |    70 |  0.0721861894497039 |  1.09488803814716
  22 |       22 |  8063 | 11872 |  0.0482852460115031 |  1.16707422759687
  23 |       23 |  4557 |  9804 |   0.014534146173953 |  1.21535947360837
  24 |       24 |  2817 |  1895 |  0.0142297773534049 |  1.22989361978232
  25 |       25 |  3254 |   247 |  0.0422448642248112 |  1.24412339713573
  26 |       26 |   436 |  3181 |  0.0440726174942764 |  1.28636826136054
  27 |       27 |  5561 | 11056 |  0.0184275393677263 |  1.33044087885481
  28 |       28 |  6675 |  6854 |  0.0607281803554729 |  1.34886841822254
  29 |       29 | 12021 |  1656 |  0.0281310487025279 |  1.40959659857801
  30 |       30 |  2838 |  7332 |  0.0572532769499502 |  1.43772764728054
  31 |       31 |   279 |    -1 |                   0 |  1.49498092423049
(31 rows)

