 seq | path_seq | node  | edge  |        cost         |     agg_cost      |          name           
-----+----------+-------+-------+---------------------+-------------------+-------------------------
   1 |        1 |  3986 |  8366 |   0.121267483181179 |                 0 | 
   2 |        2 | 11738 |  8365 |  0.0239114686446986 | 0.121267483181179 | 
   3 |        3 |  5108 |  9271 |  0.0510325722213837 | 0.145178951825878 | World Trade Center Road
   4 |        4 | 11385 |  9292 |   0.101153842472227 | 0.196211524047261 | World Trade Center Road
   5 |        5 |   220 | 19257 |  0.0608710944704568 | 0.297365366519488 | World Trade Center Road
   6 |        6 | 11992 | 19710 |   0.234868659580492 | 0.358236460989945 | World Trade Center Road
   7 |        7 | 14296 | 18214 |  0.0147122888254378 | 0.593105120570436 | World Trade Center Road
   8 |        8 |  9686 | 17997 |  0.0186864573668544 | 0.607817409395874 | Summer Street
   9 |        9 | 15211 | 17456 |  0.0961813968889076 | 0.626503866762729 | Summer Street
  10 |       10 | 11151 |  9276 |  0.0735837785242783 | 0.722685263651636 | Summer Street
  11 |       11 |  8484 | 18765 |  0.0171717428653313 | 0.796269042175914 | Summer Street
  12 |       12 |  4407 | 18763 |  0.0142367934392995 | 0.813440785041246 | D Street
  13 |       13 |   277 | 18764 |     0.0422278366178 | 0.827677578480545 | D Street
  14 |       14 | 10706 | 19820 | 0.00930280495806409 | 0.869905415098345 | D Street
  15 |       15 | 14492 | 17445 | 0.00855593753684319 | 0.879208220056409 | D Street
  16 |       16 | 10355 | 15637 |   0.053493905480869 | 0.887764157593253 | D Street
  17 |       17 |   176 |  3269 | 0.00747206424752287 | 0.941258063074122 | D Street
  18 |       18 |  2184 | 18759 |  0.0398537131748448 | 0.948730127321645 | D Street
  19 |       19 |  9413 | 16396 |  0.0541036090365401 | 0.988583840496489 | D Street
  20 |       20 |  3451 |  9289 |  0.0251054524685886 |  1.04268744953303 | Silver Line Way
  21 |       21 |  7585 | 16043 |  0.0969077112420747 |  1.06779290200162 | Silver Line Way
  22 |       22 |  4934 | 14353 |  0.0126002746578369 |  1.16470061324369 | Silver Line Way
  23 |       23 | 12112 | 14352 |  0.0671604162143323 |  1.17730088790153 | Silver Line Way
  24 |       24 | 11906 | 14351 |  0.0464547132775842 |  1.24446130411586 | Silver Line Way
  25 |       25 |  4752 |  9287 |  0.0447080689252215 |  1.29091601739345 | Silver Line Way
  26 |       26 |  6108 |  9286 |   0.082375154292055 |  1.33562408631867 | Silver Line Way
  27 |       27 |  4650 | 15576 |  0.0677397195944514 |  1.41799924061072 | Haul Road
  28 |       28 |  6034 | 15572 |  0.0615269543218642 |  1.48573896020517 | Haul Road
  29 |       29 |   157 | 15958 | 0.00657425405878911 |  1.54726591452704 | 
  30 |       30 |  9016 |  4007 |  0.0668064608637913 |  1.55384016858583 | Northern Avenue
  31 |       31 |  7444 |  8374 |   0.108520520223976 |  1.62064662944962 | Northern Avenue
  32 |       32 | 13009 |    -1 |                   0 |  1.72916714967359 | 
(32 rows)

