 seq | path_seq | node  | edge  |        cost         |     agg_cost      |          name           |                                                                                                                               route_geom                                                                                                                                
-----+----------+-------+-------+---------------------+-------------------+-------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   1 |        1 |  3986 |  8366 |   0.121267483181179 |                 0 |                         | LINESTRING(-71.040802 42.351054,-71.0414012 42.3502602)
   2 |        2 | 11738 |  8365 |  0.0239114686446986 | 0.121267483181179 |                         | LINESTRING(-71.0414012 42.3502602,-71.0415194 42.3501037)
   3 |        3 |  5108 |  9271 |  0.0510325722213837 | 0.145178951825878 | World Trade Center Road | LINESTRING(-71.0415194 42.3501037,-71.0417712 42.3497695)
   4 |        4 | 11385 |  9292 |   0.101153842472227 | 0.196211524047261 | World Trade Center Road | LINESTRING(-71.0417712 42.3497695,-71.0422711 42.3491074)
   5 |        5 |   220 | 19257 |  0.0608710944704568 | 0.297365366519488 | World Trade Center Road | LINESTRING(-71.0422711 42.3491074,-71.0425686 42.3487076)
   6 |        6 | 11992 | 19710 |   0.234868659580492 | 0.358236460989945 | World Trade Center Road | LINESTRING(-71.0425686 42.3487076,-71.0433997 42.3475907,-71.0434581 42.3475149,-71.0437451 42.3471775)
   7 |        7 | 14296 | 18214 |  0.0147122888254378 | 0.593105120570436 | World Trade Center Road | LINESTRING(-71.0437451 42.3471775,-71.0438233 42.3470836)
   8 |        8 |  9686 | 17997 |  0.0186864573668544 | 0.607817409395874 | Summer Street           | LINESTRING(-71.0438233 42.3470836,-71.043671 42.3470006)
   9 |        9 | 15211 | 17456 |  0.0961813968889076 | 0.626503866762729 | Summer Street           | LINESTRING(-71.043671 42.3470006,-71.0428787 42.346582)
  10 |       10 | 11151 |  9276 |  0.0735837785242783 | 0.722685263651636 | Summer Street           | LINESTRING(-71.0428787 42.346582,-71.0422726 42.3462617)
  11 |       11 |  8484 | 18765 |  0.0171717428653313 | 0.796269042175914 | Summer Street           | LINESTRING(-71.0422726 42.3462617,-71.0421315 42.3461866)
