 seq | path_seq | node  | edge  |         cost         |       agg_cost       
-----+----------+-------+-------+----------------------+----------------------
   1 |        1 |  3363 |  2111 | 0.000469304698459143 |                    0
   2 |        2 |  3724 |  2112 | 0.000361582330357484 | 0.000469304698459143
   3 |        3 |  3944 |  9492 |  0.00105479171877467 | 0.000830887028816627
   4 |        4 | 11511 | 13932 |  0.00220713385175832 |   0.0018856787475913
   5 |        5 |  9299 |  5329 |  0.00053839446664041 |  0.00409281259934961
   6 |        6 |  3962 | 15211 | 4.33263199457023e-05 |  0.00463120706599002
   7 |        7 |  7161 | 15737 |  5.4849339101133e-05 |  0.00467453338593573
   8 |        8 |  6702 | 11100 | 0.000394173366297663 |  0.00472938272503686
   9 |        9 |  7572 |  4001 | 0.000563903929945326 |  0.00512355609133452
  10 |       10 |  7024 | 13917 |  7.5896310845478e-05 |  0.00568746002127985
  11 |       11 | 11487 | 11956 | 0.000175926177697688 |  0.00576335633212533
  12 |       12 |  8092 |  1590 |  0.00058124326232598 |  0.00593928250982301
  13 |       13 |  2746 |  7366 | 0.000132512112654024 |  0.00652052577214899
  14 |       14 |   288 |   835 | 0.000173957351095451 |  0.00665303788480302
  15 |       15 |  1471 |  6254 | 0.000349494825639744 |  0.00682699523589847
  16 |       16 | 10908 |  5429 | 0.000177928356370073 |  0.00717649006153821
  17 |       17 |  9492 | 20263 |  0.00059148580755913 |  0.00735441841790828
  18 |       18 | 14441 |    -1 |                    0 |  0.00794590422546741
(18 rows)

