 seq | path_seq | start_vid | node  | edge  |       cost        |     agg_cost     
-----+----------+-----------+-------+-------+-------------------+------------------
   1 |        1 |      3363 |  3363 |  2111 |  49.2093404131219 |                0
   2 |        2 |      3363 |  3724 |  2112 |   30.959755989183 | 49.2093404131219
   3 |        3 |      3363 |  3944 |  9492 |  85.0008096804909 | 80.1690964023048
   4 |        4 |      3363 | 11511 | 13932 |  178.154056617496 | 165.169906082796
   5 |        5 |      3363 |  9299 |  5329 |  44.6906204368879 | 343.323962700292
   6 |        6 |      3363 |  3962 | 15211 |  4.77534721430269 |  388.01458313718
   7 |        7 |      3363 |  7161 | 15737 |  5.72709951367941 | 392.789930351482
   8 |        8 |      3363 |  6702 | 11100 |  33.2881585137341 | 398.517029865162
   9 |        9 |      3363 |  7572 |  4001 |  54.2084983145743 | 431.805188378896
  10 |       10 |      3363 |  7024 | 13917 |  7.84296205080804 |  486.01368669347
  11 |       11 |      3363 | 11487 | 11956 |  14.4325622326789 | 493.856648744278
  12 |       12 |      3363 |  8092 |  1590 |  47.8737012465884 | 508.289210976957
  13 |       13 |      3363 |  2746 |  7366 |  10.9149186344809 | 556.162912223546
  14 |       14 |      3363 |   288 |   835 |  18.1838156591823 | 567.077830858026
  15 |       15 |      3363 |  1471 |  6254 |  36.9582714123837 | 585.261646517209
  16 |       16 |      3363 | 10908 |  5429 |  15.7194214630127 | 622.219917929592
  17 |       17 |      3363 |  9492 | 20263 |  58.9630808621779 | 637.939339392605
  18 |       18 |      3363 | 14441 |    -1 |                 0 | 696.902420254783
  19 |        1 |     14745 | 14745 | 21784 |   9.2350383191617 |                0
  20 |        2 |     14745 | 15791 | 22532 | 0.637428675845302 |  9.2350383191617
  21 |        3 |     14745 | 16449 | 19442 |  1.07660255336582 | 9.87246699500701
  22 |        4 |     14745 | 13727 | 17021 |  7.88326639072665 | 10.9490695483728
  23 |        5 |     14745 |  9451 |  5404 |  1.87795636074109 | 18.8323359390995
  24 |        6 |     14745 |   357 |   216 |  141.087803281124 | 20.7102922998406
  25 |        7 |     14745 |  4180 |  2373 |  9.26204797953308 | 161.798095580965
  26 |        8 |     14745 | 11331 |  6479 |  111.259934964002 | 171.060143560498
  27 |        9 |     14745 |  5771 | 10580 |  63.7969455257312 |   282.3200785245
  28 |       10 |     14745 |  5823 |  5740 |  77.5626411669929 | 346.117024050231
  29 |       11 |     14745 | 10008 |  5742 |  22.6195893925252 | 423.679665217224
  30 |       12 |     14745 |  7380 | 11517 |   7.7410348718727 | 446.299254609749
  31 |       13 |     14745 | 10396 | 16106 |  4.80058016267429 | 454.040289481622
  32 |       14 |     14745 |  9500 |  5431 |  15.0093373578267 | 458.840869644296
  33 |       15 |     14745 |  6597 | 11051 |  15.7478214206794 | 473.850207002123
  34 |       16 |     14745 |   303 |  7909 |  26.6602317828336 | 489.598028422802
  35 |       17 |     14745 |  1213 | 10681 |  27.5175004041609 | 516.258260205636
  36 |       18 |     14745 |  5966 | 10680 |  11.3059383429239 | 543.775760609797
  37 |       19 |     14745 |  4728 |  2704 |  9.44039537963907 | 555.081698952721
  38 |       20 |     14745 |  7786 |  4639 |  5.91882862803831 |  564.52209433236
  39 |       21 |     14745 |  8138 | 21248 |  8.13939051641936 | 570.440922960398
  40 |       22 |     14745 | 15318 | 17568 |  45.0092300744167 | 578.580313476817
  41 |       23 |     14745 |  2746 |  7366 |  10.9149186344809 | 623.589543551234
  42 |       24 |     14745 |   288 |   835 |  18.1838156591823 | 634.504462185715
  43 |       25 |     14745 |  1471 |  6254 |  36.9582714123837 | 652.688277844897
  44 |       26 |     14745 | 10908 |  5429 |  15.7194214630127 | 689.646549257281
  45 |       27 |     14745 |  9492 | 20263 |  58.9630808621779 | 705.365970720294
  46 |       28 |     14745 | 14441 |    -1 |                 0 | 764.329051582471
(46 rows)

