 seq | path_seq | start_vid | end_vid | node  | edge  |        cost         |     agg_cost      
-----+----------+-----------+---------+-------+-------+---------------------+-------------------
   1 |        1 |      3363 |    1175 |  3363 |  2111 |   0.630888979655408 |                 0
   2 |        2 |      3363 |    1175 |  3724 |   804 |   0.107348683619402 | 0.630888979655408
   3 |        3 |      3363 |    1175 |  1434 |  1292 |  0.0629736571528349 |  0.73823766327481
   4 |        4 |      3363 |    1175 |  2255 | 12042 |   0.413556207253385 | 0.801211320427645
   5 |        5 |      3363 |    1175 |  8235 |  8260 |   0.470992578447185 |  1.21476752768103
   6 |        6 |      3363 |    1175 |  1840 |  6038 |   0.167679326810376 |  1.68576010612821
   7 |        7 |      3363 |    1175 | 10544 | 13845 |   0.268109758368963 |  1.85343943293859
   8 |        8 |      3363 |    1175 | 11363 |  3188 |   0.603881743239681 |  2.12154919130755
   9 |        9 |      3363 |    1175 |  5593 |  6440 |   0.377911957931543 |  2.72543093454723
  10 |       10 |      3363 |    1175 | 11256 | 12775 |   0.750839304278744 |  3.10334289247878
  11 |       11 |      3363 |    1175 |  9484 | 13741 |    0.66391360112904 |  3.85418219675752
  12 |       12 |      3363 |    1175 | 11170 | 14390 |   0.517384960828812 |  4.51809579788656
  13 |       13 |      3363 |    1175 | 12311 |   889 |   0.523624329401654 |  5.03548075871537
  14 |       14 |      3363 |    1175 |  1547 |  9173 |   0.202383971113161 |  5.55910508811703
  15 |       15 |      3363 |    1175 |  3406 |  2662 |   0.507573308996706 |  5.76148905923019
  16 |       16 |      3363 |    1175 |  4653 |  7608 |   0.329970710525846 |  6.26906236822689
  17 |       17 |      3363 |    1175 |   749 |   859 |   0.391023076472165 |  6.59903307875274
  18 |       18 |      3363 |    1175 |  1503 |  5644 |   0.474071744308518 |  6.99005615522491
  19 |       19 |      3363 |    1175 |  9857 | 11951 |   0.277973221138107 |  7.46412789953342
  20 |       20 |      3363 |    1175 |  8083 |  7474 |   0.123347565806845 |  7.74210112067153
