 class_id | type_id |       name        | priority | default_maxspeed 
----------+---------+-------------------+----------+------------------
      100 |       1 | road              |        0 |               50
      101 |       1 | motorway          |        0 |               50
      102 |       1 | motorway_link     |        0 |               50
      103 |       1 | motorway_junction |        0 |               50
      104 |       1 | trunk             |        0 |               50
      105 |       1 | trunk_link        |        0 |               50
      106 |       1 | primary           |        0 |               50
      107 |       1 | primary_link      |        0 |               50
      108 |       1 | secondary         |        0 |               50
      109 |       1 | tertiary          |        0 |               50
      110 |       1 | residential       |        0 |               50
      111 |       1 | living_street     |        0 |               50
      112 |       1 | service           |        0 |               50
      113 |       1 | track             |        0 |               50
      114 |       1 | pedestrian        |        0 |               50
      115 |       1 | services          |        0 |               50
      116 |       1 | bus_guideway      |        0 |               50
      117 |       1 | path              |        0 |               50
      118 |       1 | cycleway          |        0 |               50
      119 |       1 | footway           |        0 |               50
      120 |       1 | bridleway         |        0 |               50
      121 |       1 | byway             |        0 |               50
      122 |       1 | steps             |        0 |               50
      123 |       1 | unclassified      |        0 |               50
      124 |       1 | secondary_link    |        0 |               50
      125 |       1 | tertiary_link     |        0 |               50
      201 |       2 | lane              |        0 |               50
      202 |       2 | track             |        0 |               50
      203 |       2 | opposite_lane     |        0 |               50
      204 |       2 | opposite          |        0 |               50
      301 |       3 | grade1            |        0 |               50
      302 |       3 | grade2            |        0 |               50
      303 |       3 | grade3            |        0 |               50
      304 |       3 | grade4            |        0 |               50
      305 |       3 | grade5            |        0 |               50
      401 |       4 | roundabout        |        0 |               50
(36 rows)

