 seq | path_seq | node  | edge  |       cost        |     agg_cost     |                                                                                                        st_astext                                                                                                        
-----+----------+-------+-------+-------------------+------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   1 |        1 |  3986 |  8366 |  7.27604899087074 |                0 | LINESTRING(-71.0414012 42.3502602,-71.040802 42.351054)
   2 |        2 | 11738 | 13323 |  1.01816853840743 | 7.27604899087074 | LINESTRING(-71.0412494 42.3502008,-71.0414012 42.3502602)
   3 |        3 |   642 | 13320 | 0.975925467155088 | 8.29421752927817 | LINESTRING(-71.0411057 42.3501414,-71.0412494 42.3502008)
   4 |        4 |  3523 | 13321 |  4.44861341956595 | 9.27014299643326 | LINESTRING(-71.0411057 42.3501414,-71.0410692 42.3501297,-71.0410906 42.3501009,-71.0413602 42.350209,-71.0415406 42.3499785)
   5 |        5 |  4884 | 13322 | 0.671628596885399 | 13.7187564159992 | LINESTRING(-71.0415406 42.3499785,-71.0415975 42.3499059)
   6 |        6 | 12929 | 16171 |  3.91486532383829 | 14.3903850128846 | LINESTRING(-71.0415975 42.3499059,-71.0410207 42.3496681)
   7 |        7 |  8825 | 16172 |  1.76380581308775 | 18.3052503367229 | LINESTRING(-71.0410207 42.3496681,-71.0407608 42.349561)
   8 |        8 |  4368 | 16173 |  7.76546643488788 | 20.0690561498107 | LINESTRING(-71.0407608 42.349561,-71.0398294 42.3491768,-71.0397563 42.3491519,-71.0396823 42.3491326,-71.0395986 42.3491248)
   9 |        9 |  6991 |  1432 |  4.30326906874485 | 27.8345225846985 | LINESTRING(-71.0395986 42.3491248,-71.0389628 42.3488658)
  10 |       10 | 10006 |  1433 |  5.08419487554397 | 32.1377916534434 | LINESTRING(-71.0389628 42.3488658,-71.0382114 42.3485601)
  11 |       11 |  2617 |  1434 |  4.78203635913677 | 37.2219865289874 | LINESTRING(-71.0382114 42.3485601,-71.0375056 42.3482713)
  12 |       12 |   628 |  1435 |  3.97156039038607 | 42.0040228881241 | LINESTRING(-71.0375056 42.3482713,-71.0369182 42.3480331)
  13 |       13 |  8158 | 15565 |  4.21730808084949 | 45.9755832785102 | LINESTRING(-71.0369182 42.3480331,-71.036459 42.3477685,-71.0364247 42.3477362,-71.0364057 42.3477189,-71.0363855 42.34769)
  14 |       14 |  8630 | 15956 | 0.465956368522328 | 50.1928913593597 | LINESTRING(-71.0363855 42.34769,-71.0363852 42.3476621,-71.0363761 42.3476325)
  15 |       15 | 12243 | 15957 |  1.23521121348427 |  50.658847727882 | LINESTRING(-71.0363761 42.3476325,-71.0363641 42.3476126,-71.0363439 42.3475904,-71.0363079 42.347566,-71.0362657 42.34755,-71.0362202 42.3475427)
  16 |       16 |   157 | 15958 | 0.394455243527346 | 51.8940589413663 | LINESTRING(-71.0362202 42.3475427,-71.0361854 42.347543,-71.0361543 42.3475475)
  17 |       17 |  9016 |  4007 |  4.00838765182748 | 52.2885141848936 | LINESTRING(-71.0361543 42.3475475,-71.0360943 42.3475372,-71.0360469 42.3475266,-71.0360014 42.3475067,-71.0359613 42.347478,-71.0358196 42.3473192,-71.0357825 42.347288,-71.0357302 42.3472563,-71.035666 42.3472266)
  18 |       18 |  7444 |  8374 |  6.51123121343855 | 56.2969018367211 | LINESTRING(-71.035666 42.3472266,-71.0351521 42.3466748,-71.0350907 42.3466184,-71.0350277 42.346565)
  19 |       19 | 13009 |    -1 |                 0 | 62.8081330501596 | 
(19 rows)

