 seq | path_seq | node  | edge  |       cost        |     agg_cost     |                                                                                                                                                          the_geom                                                                                                                                                          
-----+----------+-------+-------+-------------------+------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   1 |        1 |  3986 |  8366 |  7.27604899087074 |                0 | 0102000020E610000002000000F8003851A6C251C0930B8453D52C454021E7FD7F9CC251C0A3906456EF2C4540
   2 |        2 | 11738 | 13323 |  1.01816853840743 | 7.27604899087074 | 0102000020E610000002000000B2FE85D4A3C251C03B843B61D32C4540F8003851A6C251C0930B8453D52C4540
   3 |        3 |   642 | 13320 | 0.975925467155088 | 8.29421752927817 | 0102000020E610000002000000784BCD79A1C251C0E2FCF26ED12C4540B2FE85D4A3C251C03B843B61D32C4540
   4 |        4 |  3523 | 13321 |  4.44861341956595 | 9.27014299643326 | 0102000020E610000005000000784BCD79A1C251C0E2FCF26ED12C4540DDB7B5E0A0C251C0DC6DCD0CD12C454013CB773AA1C251C06CE6351BD02C4540C99640A5A5C251C0E7E104A6D32C4540339DE799A8C251C0CDE67118CC2C4540
   5 |        5 |  4884 | 13322 | 0.671628596885399 | 13.7187564159992 | 0102000020E610000002000000339DE799A8C251C0CDE67118CC2C45401A868F88A9C251C0B7966EB7C92C4540
   6 |        6 | 12929 | 16171 |  3.91486532383829 | 14.3903850128846 | 0102000020E6100000020000001A868F88A9C251C0B7966EB7C92C4540613D4915A0C251C02CFA9EECC12C4540
   7 |        7 |  8825 | 16172 |  1.76380581308775 | 18.3052503367229 | 0102000020E610000002000000613D4915A0C251C02CFA9EECC12C45405DBD2FD39BC251C0817A336ABE2C4540
   8 |        8 |  4368 | 16173 |  7.76546643488788 | 20.0690561498107 | 0102000020E6100000050000005DBD2FD39BC251C0817A336ABE2C4540D69A9C908CC251C0CF424CD3B12C4540D613025E8BC251C00BEB6B02B12C4540B92EA1278AC251C0D57B8560B02C4540EAFD90C888C251C07C1C171FB02C4540
   9 |        9 |  6991 |  1432 |  4.30326906874485 | 27.8345225846985 | 0102000020E610000002000000EAFD90C888C251C07C1C171FB02C4540ADF0D35D7EC251C0B0D870A2A72C4540
  10 |       10 | 10006 |  1433 |  5.08419487554397 | 32.1377916534434 | 0102000020E610000002000000ADF0D35D7EC251C0B0D870A2A72C454066553A0E72C251C062180B9E9D2C4540
  11 |       11 |  2617 |  1434 |  4.78203635913677 | 37.2219865289874 | 0102000020E61000000200000066553A0E72C251C062180B9E9D2C4540AE5AE37D66C251C055D16927942C4540
  12 |       12 |   628 |  1435 |  3.97156039038607 | 42.0040228881241 | 0102000020E610000002000000AE5AE37D66C251C055D16927942C4540246827DE5CC251C077363F598C2C4540
  13 |       13 |  8158 | 15565 |  4.21730808084949 | 45.9755832785102 | 0102000020E610000005000000246827DE5CC251C077363F598C2C45404529215855C251C01C0A9FAD832C454010D143C854C251C05251AB9E822C4540D5B8927854C251C0BDD98B0D822C45401C23D92354C251C0B8921D1B812C4540
  14 |       14 |  8630 | 15956 | 0.465956368522328 | 50.1928913593597 | 0102000020E6100000030000001C23D92354C251C0B8921D1B812C4540BD03972254C251C083C71231802C4540C9F66BFC53C251C06C43C5387F2C4540
  15 |       15 | 12243 | 15957 |  1.23521121348427 |  50.658847727882 | 0102000020E610000006000000C9F66BFC53C251C06C43C5387F2C4540E70F17CA53C251C0B956D6917E2C45402F7A5D7553C251C0A8339CD77D2C454088C55EDE52C251C0CC99ED0A7D2C4540DCDD5E2D52C251C0C6DCB5847C2C4540189D876E51C251C0553B79477C2C4540
  16 |       16 |   157 | 15958 | 0.394455243527346 | 51.8940589413663 | 0102000020E610000003000000189D876E51C251C0553B79477C2C4540EE6591DC50C251C0147AFD497C2C45400707205A50C251C03D27BD6F7C2C4540
  17 |       17 |  9016 |  4007 |  4.00838765182748 | 52.2885141848936 | 0102000020E6100000090000000707205A50C251C03D27BD6F7C2C45409C84775E4FC251C05B1256197C2C4540D227A8974EC251C0BBBE6AC07B2C45400EE7D0D84DC251C008D27B197B2C4540FCDA9F304DC251C02D0ABB287A2C454092A34ADE4AC251C0EEA29EF4742C454039D1AE424AC251C08925E5EE732C4540B11E526749C251C03CEAF9E4722C454011E50B5A48C251C090A6D5EB712C4540
  18 |       18 |  7444 |  8374 |  6.51123121343855 | 56.2969018367211 | 0102000020E61000000400000011E50B5A48C251C090A6D5EB712C4540B0F897EE3FC251C0762C00D75F2C4540333910ED3EC251C08E18E2FD5D2C4540107DD2E43DC251C01878EE3D5C2C4540
  19 |       19 | 13009 |    -1 |                 0 | 62.8081330501596 | 
(19 rows)

