CREATE FUNCTION
 seq |       cost        |       name        |     heading      |                                                                                                        st_astext                                                                                                        
-----+-------------------+-------------------+------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   1 |  7.27604899087074 |                   | 3.78819059932897 | LINESTRING(-71.040802 42.351054,-71.0414012 42.3502602)
   2 |  1.01816853840743 |                   |  1.9437840485879 | LINESTRING(-71.0414012 42.3502602,-71.0412494 42.3502008)
   3 | 0.975925467155088 |                   | 1.96276762616724 | LINESTRING(-71.0412494 42.3502008,-71.0411057 42.3501414)
   4 |  4.44861341956595 |                   | 4.35399634381934 | LINESTRING(-71.0411057 42.3501414,-71.0410692 42.3501297,-71.0410906 42.3501009,-71.0413602 42.350209,-71.0415406 42.3499785)
   5 | 0.671628596885399 |                   | 3.80634408721445 | LINESTRING(-71.0415406 42.3499785,-71.0415975 42.3499059)
   6 |  3.91486532383829 | Seaport Boulevard | 1.96183928266178 | LINESTRING(-71.0415975 42.3499059,-71.0410207 42.3496681)
   7 |  1.76380581308775 | Seaport Boulevard | 1.96167426831781 | LINESTRING(-71.0410207 42.3496681,-71.0407608 42.349561)
   8 |  7.76546643488788 | Seaport Boulevard | 1.92984985048659 | LINESTRING(-71.0407608 42.349561,-71.0398294 42.3491768,-71.0397563 42.3491519,-71.0396823 42.3491326,-71.0395986 42.3491248)
   9 |  4.30326906874485 | Northern Avenue   | 1.95763207569477 | LINESTRING(-71.0395986 42.3491248,-71.0389628 42.3488658)
  10 |  5.08419487554397 | Northern Avenue   | 1.95718579691503 | LINESTRING(-71.0389628 42.3488658,-71.0382114 42.3485601)
  11 |  4.78203635913677 | Northern Avenue   | 1.95919227868045 | LINESTRING(-71.0382114 42.3485601,-71.0375056 42.3482713)
  12 |  3.97156039038607 | Northern Avenue   | 1.95604866932578 | LINESTRING(-71.0375056 42.3482713,-71.0369182 42.3480331)
  13 |  4.21730808084949 | Northern Avenue   | 2.14299671735976 | LINESTRING(-71.0369182 42.3480331,-71.036459 42.3477685,-71.0364247 42.3477362,-71.0364057 42.3477189,-71.0363855 42.34769)
  14 | 0.465956368522328 |                   | 2.97954780373627 | LINESTRING(-71.0363855 42.34769,-71.0363852 42.3476621,-71.0363761 42.3476325)
  15 |  1.23521121348427 |                   |   2.093389514635 | LINESTRING(-71.0363761 42.3476325,-71.0363641 42.3476126,-71.0363439 42.3475904,-71.0363079 42.347566,-71.0362657 42.34755,-71.0362202 42.3475427)
  16 | 0.394455243527346 |                   | 1.49808709454952 | LINESTRING(-71.0362202 42.3475427,-71.0361854 42.347543,-71.0361543 42.3475475)
  17 |  4.00838765182748 | Northern Avenue   | 2.15220102921469 | LINESTRING(-71.0361543 42.3475475,-71.0360943 42.3475372,-71.0360469 42.3475266,-71.0360014 42.3475067,-71.0359613 42.347478,-71.0358196 42.3473192,-71.0357825 42.347288,-71.0357302 42.3472563,-71.035666 42.3472266)
  18 |  6.51123121343855 | Northern Avenue   | 2.37411702665964 | LINESTRING(-71.035666 42.3472266,-71.0351521 42.3466748,-71.0350907 42.3466184,-71.0350277 42.346565)
(18 rows)

